844,-122,-3,0.0880947494,-0.0371505928,1.6450591087
845,-121,-3,0.1055370450,-0.0466177463,2.0033471584
846,-118,-4,0.1276237368,-0.1537811994,1.1024196147
847,-114,-4,0.1054900527,-0.0410248947,1.9825752258
848,-110,-4,0.1268492221,-0.0549598026,2.3907854557
849,-105,-5,0.1527678871,-0.1641804599,1.5691747665
850,-98,-5,0.1355109453,-0.0540972661,2.5496211051
851,-90,-6,0.1630427122,-0.1665295124,1.7307083606
852,-81,-7,0.1466931724,-0.1520208120,1.3764503002
853,-74,-7,0.1253175497,-0.0419796705,2.2421765327
854,-67,-8,0.1465170621,-0.1509076356,1.2939747619
855,-59,-9,0.1221746444,-0.1320348978,0.7757811546
856,-54,-9,0.0906826114,-0.0164709091,1.4338846206
857,-51,-10,0.0990731048,-0.1184013481,0.2226110696
858,-48,-10,0.0585151147,0.0044519305,0.7255982398
859,-47,-10,0.0565816211,0.0032239556,0.6559157371
860,-47,-10,0.0530232334,0.0052088499,0.5835648536
861,-47,-10,0.0485428714,0.0076510310,0.4917132377
862,-47,-10,0.0428737115,0.0107425451,0.3755077838
863,-47,-11,0.0356912612,-0.0804529762,-1.1257922649
864,-48,-11,-0.0234898328,0.0525249242,-1.0056277513
865,-50,-11,-0.0490259552,0.0641949176,-1.5592653751
866,-52,-11,-0.0824524879,0.0824866294,-2.2439351081
867,-55,-11,-0.1247258305,0.1055503487,-3.1108078956
868,-60,-10,-0.1782145404,0.2298497676,-2.8537373542
869,-68,-10,-0.1958180904,0.1387752294,-4.5489377975
870,-81,-9,-0.2674631118,0.2752688407,-4.6350274085
871,-99,-8,-0.3069552421,0.2912433147,-5.4265136718
872,-123,-7,-0.3562630176,0.3149158477,-6.3891634941
873,-153,-5,-0.4168684959,0.4398481845,-6.2305130958
874,-190,-2,-0.4417088508,0.5397231578,-5.3187694549
875,-238,0,-0.4205865383,0.4210221290,-6.1237249374
876,-282,3,-0.4396821022,0.5223554611,-5.0346260070
877,-328,7,-0.4090662479,0.5886464595,-2.9372253417
878,-372,9,-0.3159871339,0.3322731256,-3.5698709487
879,-412,12,-0.2922499179,0.4124335765,-1.5731863975
880,-452,14,-0.2063650608,0.2582864761,-1.0510067939
881,-478,16,-0.1435445404,0.2197898626,0.3655521869
882,-496,17,-0.0593196964,0.0721011161,0.8362582206
883,-504,17,0.0007534336,-0.0568217039,0.7929825305
884,-506,17,0.0295870037,-0.0703316926,1.4129769802
885,-503,17,0.0671398925,-0.0908453464,2.1827721595
886,-496,16,0.1146444082,-0.2118804454,1.8033914566
