534,-6,-9,-0.0826994037,0.0749515295,-2.0715429782,0.0399999980
535,-10,-8,-0.1184841270,0.1859530258,-1.5343532562,0.0399999980
536,-15,-8,-0.1167317986,0.0896566486,-2.6947121620,0.0399999980
537,-20,-7,-0.1587951660,0.2037254571,-2.2845706939,0.0399999980
538,-29,-7,-0.1649252891,0.1115670800,-3.6008887290,0.0399999980
539,-40,-6,-0.2167534828,0.2307650566,-3.3839349746,0.0399999980
540,-54,-5,-0.2349846601,0.2371729612,-3.6945979595,0.0399999980
541,-70,-4,-0.2557258844,0.2446709632,-4.0577917098,0.0399999980
542,-90,-2,-0.2796876668,0.3460704326,-3.2397322654,0.0399999980
543,-112,-1,-0.2615603923,0.2377843141,-4.0292034149,0.0399999980
544,-135,1,-0.2816113948,0.3369054317,-3.1366982460,0.0399999980
545,-158,2,-0.2587478637,0.2261352062,-3.8325104713,0.0399999980
546,-183,4,-0.2729335069,0.3221788883,-2.8240451812,0.0399999980
547,-209,6,-0.2428122043,0.2998108673,-2.1313598155,0.0399999980
548,-232,7,-0.2019309759,0.1793560409,-2.4737129211,0.0399999980
549,-250,9,-0.1939083862,0.2637418508,-1.0259408950,0.0399999980
550,-269,10,-0.1362740397,0.1347177624,-1.0341007709,0.0399999980
551,-281,11,-0.1073919653,0.1159422993,-0.4187392234,0.0399999980
552,-289,11,-0.0699913978,0.0007104874,-0.8770339965,0.0399999980
553,-292,11,-0.0680091953,-0.0005460978,-0.8408240318,0.0399999980
554,-294,11,-0.0656650161,-0.0017659664,-0.7945960998,0.0399999980
555,-293,11,-0.0627666997,-0.0032770633,-0.7373538494,0.0399999980
556,-293,11,-0.0591800451,-0.0051512718,-0.6665417671,0.0399999980
557,-293,11,-0.0547425031,-0.0074715614,-0.5788955688,0.0399999980
558,-293,11,-0.0492509317,-0.0103451013,-0.4704049110,0.0399999980
559,-293,11,-0.0424539899,-0.0139036774,-0.3360972404,0.0399999980
560,-293,11,-0.0340403366,-0.0183109645,-0.1698188304,0.0399999980
561,-293,11,-0.0236245298,-0.0237691402,0.0360547590,0.0399999980
562,-293,11,-0.0107291269,-0.0305288434,0.2909649372,0.0399999980
563,-293,11,0.0052371330,-0.0389004344,0.6066044807,0.0399999980
564,-292,11,0.0250064969,-0.0492684268,0.9974721908,0.0399999980
565,-291,11,0.0494864845,-0.0621096515,1.4814896583,0.0399999980
566,-290,11,0.0798000574,-0.0780128860,2.0808725357,0.0399999980
567,-287,11,0.1173382401,-0.0977084636,2.8231682777,0.0399999980
568,-280,11,0.1638252019,-0.1221032738,3.7424895763,0.0399999980
569,-270,10,0.2214016914,-0.2445315122,3.6361346244,0.0399999980
570,-253,9,0.2466378450,-0.2546007633,4.0851907730,0.0399999980
571,-232,8,0.2760493516,-0.2666364908,4.6197233200,0.0399999980
572,-209,6,0.3107441663,-0.3736577272,4.0137400627,0.0399999980
573,-178,4,0.3059074401,-0.3645448446,3.8209838867,0.0399999980
